region,oktmo,lat_round,lon_round,companies_count,high_risk_companies
altai rep.,84701000001.0,51.954,85.928,27,0
altai rep.,84701000001.0,51.957,85.95,20,0
altai terr.,1632412106.0,53.382,84.954,23,0
altai terr.,1701000001.0,53.271,83.734,26,0
altai terr.,1701000001.0,53.306,83.626,61,0
altai terr.,1701000001.0,53.319,83.748,37,0
altai terr.,1701000001.0,53.324,83.787,57,0
altai terr.,1701000001.0,53.326,83.754,110,0
altai terr.,1701000001.0,53.327,83.675,29,0
altai terr.,1701000001.0,53.33,83.684,20,0
altai terr.,1701000001.0,53.33,83.791,58,0
altai terr.,1701000001.0,53.331,83.656,35,0
altai terr.,1701000001.0,53.331,83.673,25,0
altai terr.,1701000001.0,53.331,83.789,63,0
altai terr.,1701000001.0,53.335,83.685,37,0
altai terr.,1701000001.0,53.335,83.777,35,0
altai terr.,1701000001.0,53.337,83.779,127,0
altai terr.,1701000001.0,53.341,83.738,38,0
altai terr.,1701000001.0,53.342,83.648,44,0
altai terr.,1701000001.0,53.346,83.758,32,0
altai terr.,1701000001.0,53.348,83.779,42,0
altai terr.,1701000001.0,53.349,83.62,70,0
altai terr.,1701000001.0,53.349,83.776,20,0
altai terr.,1701000001.0,53.35,83.608,51,0
altai terr.,1701000001.0,53.351,83.773,198,0
altai terr.,1701000001.0,53.354,83.698,61,0
altai terr.,1701000001.0,53.356,83.712,20,0
altai terr.,1701000001.0,53.357,83.659,69,0
altai terr.,1701000001.0,53.358,83.705,42,0
altai terr.,1701000001.0,53.358,83.731,20,0
altai terr.,1701000001.0,53.36,83.771,179,0
altai terr.,1701000001.0,53.36,83.779,40,0
altai terr.,1701000001.0,53.361,83.714,27,0
altai terr.,1701000001.0,53.362,83.767,52,0
altai terr.,1701000001.0,53.368,83.677,94,0
altai terr.,1701000001.0,53.369,83.713,33,0
altai terr.,1701000001.0,53.37,83.693,27,0
altai terr.,1701000001.0,53.373,83.749,44,0
altai terr.,1701000001.0,53.382,83.737,19,0
altai terr.,1701000001.0,53.387,83.737,48,0
altai terr.,1701000056.0,53.348,83.779,21,0
altai terr.,1705000001.0,52.508,85.135,20,0
amur,10701000001.0,50.259,127.552,34,0
amur,10701000001.0,50.26,127.512,37,0
amur,10701000001.0,50.26,127.534,18,0
amur,10701000001.0,50.261,127.558,21,0
amur,10701000001.0,50.262,127.535,19,0
amur,10701000001.0,50.262,127.551,20,0
amur,10701000001.0,50.265,127.567,21,0
amur,10701000001.0,50.267,127.529,38,0
